20210606 18:05:47
Origin HIRO AntMaze Exp
/media/lsf/5061349a-a747-49ba-b5f5-c1a943b93242/anaconda3/envs/safe-mujoco/lib/python3.7/site-packages/gym/logger.py:30: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  warnings.warn(colorize('%s: %s'%('WARN', msg % args), 'yellow'))
Epoch: 2320 Reward: -3350.345 Time consuming: 38
Epoch: 2330 Reward: -4134.689 Time consuming: 38
Epoch: 2340 Reward: -2049.022 Time consuming: 38
Epoch: 2350 Reward: -2672.482 Time consuming: 38
Epoch: 2360 Reward: -3820.425 Time consuming: 38
Epoch: 2370 Reward: -1624.832 Time consuming: 38
Epoch: 2380 Reward: -3358.667 Time consuming: 38
Epoch: 2390 Reward: -5554.758 Time consuming: 38
Epoch: 2400 Reward: -2591.952 Time consuming: 38
Epoch: 2410 Reward: -3710.580 Time consuming: 38
Epoch: 2420 Reward: -1534.660 Time consuming: 38
Epoch: 2430 Reward: -3520.158 Time consuming: 38
Epoch: 2440 Reward: -6109.896 Time consuming: 39
Epoch: 2450 Reward: -2912.636 Time consuming: 38
Epoch: 2460 Reward: -9232.097 Time consuming: 38
Epoch: 2470 Reward: -7716.310 Time consuming: 38
Epoch: 2480 Reward: -3880.757 Time consuming: 38
Epoch: 2490 Reward: -6142.870 Time consuming: 38
Epoch: 2500 Reward: -8560.971 Time consuming: 38
Goal, Curr: (0.00, 16.00, 5.53, 2.33)     Error:14.75
Goal, Curr: (0.00, 16.00, 2.55, 3.04)     Error:13.21
Goal, Curr: (0.00, 16.00, 5.65, 2.99)     Error:14.18
Goal, Curr: (0.00, 16.00, 3.11, 2.84)     Error:13.52
Goal, Curr: (0.00, 16.00, 4.13, 2.84)     Error:13.80
Goal, Curr: (0.00, 16.00, 5.41, 3.15)     Error:13.94
Goal, Curr: (0.00, 16.00, 4.53, 2.68)     Error:14.07
Goal, Curr: (0.00, 16.00, 3.23, 2.98)     Error:13.41
Goal, Curr: (0.00, 16.00, 5.12, 2.57)     Error:14.37
Goal, Curr: (0.00, 16.00, 3.55, 3.11)     Error:13.37
episode:02500, mean:-6963.08, std:201.76, median:-6956.43, success:0.00
Epoch: 2510 Reward: -946.260 Time consuming: 44
Epoch: 2520 Reward: -2622.321 Time consuming: 38
Epoch: 2530 Reward: -7045.326 Time consuming: 38
Epoch: 2540 Reward: -5853.733 Time consuming: 38
Epoch: 2550 Reward: -8270.000 Time consuming: 38
Epoch: 2560 Reward: -8069.849 Time consuming: 37
Epoch: 2570 Reward: -1921.980 Time consuming: 38
Epoch: 2580 Reward: -6700.486 Time consuming: 38
Epoch: 2590 Reward: -1197.144 Time consuming: 38
Epoch: 2600 Reward: -9631.320 Time consuming: 38
