20210606 18:05:47
Origin HIRO AntPush Exp
/media/lsf/5061349a-a747-49ba-b5f5-c1a943b93242/anaconda3/envs/safe-mujoco/lib/python3.7/site-packages/gym/logger.py:30: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  warnings.warn(colorize('%s: %s'%('WARN', msg % args), 'yellow'))
episode:02250, mean:-9538.33, std:83.11, median:-9527.86, success:0.00
Epoch: 2260 Reward: -9486.473 Time consuming: 45
Epoch: 2270 Reward: -9339.115 Time consuming: 39
Epoch: 2280 Reward: -9253.760 Time consuming: 38
Epoch: 2290 Reward: -9630.833 Time consuming: 39
Epoch: 2300 Reward: -9632.029 Time consuming: 39
Epoch: 2310 Reward: -9537.106 Time consuming: 38
Epoch: 2320 Reward: -9325.949 Time consuming: 39
Epoch: 2330 Reward: -9336.346 Time consuming: 38
Epoch: 2340 Reward: -9611.159 Time consuming: 39
Epoch: 2350 Reward: -9437.517 Time consuming: 39
Epoch: 2360 Reward: -9318.022 Time consuming: 39
Epoch: 2370 Reward: -9978.681 Time consuming: 39
Epoch: 2380 Reward: -9520.908 Time consuming: 39
Epoch: 2390 Reward: -9274.477 Time consuming: 39
Epoch: 2400 Reward: -9362.207 Time consuming: 39
Epoch: 2410 Reward: -9495.086 Time consuming: 39
Epoch: 2420 Reward: -9377.399 Time consuming: 39
Epoch: 2430 Reward: -9176.395 Time consuming: 39
Epoch: 2440 Reward: -9368.019 Time consuming: 39
Epoch: 2450 Reward: -9514.525 Time consuming: 38
Epoch: 2460 Reward: -9475.442 Time consuming: 38
Epoch: 2470 Reward: -9367.099 Time consuming: 39
Epoch: 2480 Reward: -9516.322 Time consuming: 38
Epoch: 2490 Reward: -9592.240 Time consuming: 39
Epoch: 2500 Reward: -9579.531 Time consuming: 38
Goal, Curr: (0.00, 19.00, -0.54, 0.35)     Error:18.66
Goal, Curr: (0.00, 19.00, -0.16, -0.87)     Error:19.87
Goal, Curr: (0.00, 19.00, 0.93, -0.88)     Error:19.90
Goal, Curr: (0.00, 19.00, -0.28, -0.27)     Error:19.27
Goal, Curr: (0.00, 19.00, -0.03, 0.50)     Error:18.50
Goal, Curr: (0.00, 19.00, -0.11, 0.29)     Error:18.71
Goal, Curr: (0.00, 19.00, -0.55, -1.07)     Error:20.08
Goal, Curr: (0.00, 19.00, -0.08, -0.27)     Error:19.27
Goal, Curr: (0.00, 19.00, -0.56, 0.54)     Error:18.47
Goal, Curr: (0.00, 19.00, -0.20, -0.18)     Error:19.18
episode:02500, mean:-9584.58, std:275.21, median:-9603.72, success:0.00
Epoch: 2510 Reward: -9715.459 Time consuming: 45
Epoch: 2520 Reward: -9596.397 Time consuming: 39
Epoch: 2530 Reward: -8944.015 Time consuming: 39
Epoch: 2540 Reward: -9942.932 Time consuming: 39
Epoch: 2550 Reward: -9672.088 Time consuming: 39
Epoch: 2560 Reward: -9194.898 Time consuming: 39
Epoch: 2570 Reward: -9806.057 Time consuming: 39
Epoch: 2580 Reward: -8864.199 Time consuming: 39
Epoch: 2590 Reward: -9991.914 Time consuming: 39
Epoch: 2600 Reward: -9449.434 Time consuming: 39
Epoch: 2610 Reward: -8770.525 Time consuming: 39
Epoch: 2620 Reward: -9281.903 Time consuming: 38
Epoch: 2630 Reward: -9266.714 Time consuming: 38
Epoch: 2640 Reward: -9138.746 Time consuming: 39
Epoch: 2650 Reward: -8904.453 Time consuming: 39
Epoch: 2660 Reward: -9247.190 Time consuming: 39
Epoch: 2670 Reward: -8904.306 Time consuming: 39
Epoch: 2680 Reward: -9680.134 Time consuming: 39
Epoch: 2690 Reward: -9112.347 Time consuming: 39
Epoch: 2700 Reward: -8927.771 Time consuming: 39
Epoch: 2710 Reward: -9299.312 Time consuming: 39
Epoch: 2720 Reward: -9217.985 Time consuming: 39
Epoch: 2730 Reward: -9083.134 Time consuming: 39
Epoch: 2740 Reward: -9650.832 Time consuming: 39
Epoch: 2750 Reward: -9245.241 Time consuming: 39
Goal, Curr: (0.00, 19.00, -0.03, 0.33)     Error:18.67
Goal, Curr: (0.00, 19.00, -0.07, 0.19)     Error:18.81
Goal, Curr: (0.00, 19.00, -0.46, 0.28)     Error:18.72
Goal, Curr: (0.00, 19.00, -0.51, 0.43)     Error:18.58
Goal, Curr: (0.00, 19.00, -0.60, -0.12)     Error:19.13
Goal, Curr: (0.00, 19.00, -0.01, 0.03)     Error:18.97
Goal, Curr: (0.00, 19.00, -0.19, -0.24)     Error:19.24
Goal, Curr: (0.00, 19.00, -0.17, 0.14)     Error:18.86
Goal, Curr: (0.00, 19.00, 0.26, 0.48)     Error:18.52
Goal, Curr: (0.00, 19.00, -0.08, 0.04)     Error:18.97
episode:02750, mean:-9422.77, std:126.50, median:-9429.93, success:0.00
Epoch: 2760 Reward: -9166.894 Time consuming: 45
Epoch: 2770 Reward: -9674.043 Time consuming: 39
Epoch: 2780 Reward: -9245.078 Time consuming: 39
Epoch: 2790 Reward: -9369.282 Time consuming: 39
Epoch: 2800 Reward: -9375.803 Time consuming: 39
Epoch: 2810 Reward: -9358.103 Time consuming: 39
Epoch: 2820 Reward: -9910.464 Time consuming: 38
Epoch: 2830 Reward: -9562.615 Time consuming: 39
Epoch: 2840 Reward: -9543.441 Time consuming: 39
Epoch: 2850 Reward: -9778.999 Time consuming: 38
